screenName,name,bio,followersCount,friendsCount,tweetsCount
meghs_1101,meghshyam karpe,,3,30,3
deepakk_1v,Deepak,,1,24,1
Mordicut111,crypto headboi$,"chat manager, community moderator passionate and enthusiastic about my job.defi nfts Daos cryto ecosystem services",81,419,89
Nickkhatri5,nick khatri,,2,12,2
OmBan16,Om Ban,Here to explore Best Tweeting birds of the day for a while,12,171,2
AerpulaSai,@Sai Teja.,"Student.Btech - CSE ::26 🎓
Concerned In AI. 
 involved in https://t.co/RLA76RKZ0p https://t.co/ZOtQ0WyoBr 
Certified in numerous platforms .
#100daysofcode #SQL #c #python #programmar",31,232,125
DenmarkDecoder,Techthoth 👨🏾‍💻,Software developer || front end web developer || HTML || CSS || JavaScript || React js || firebase,26,216,112
amitmeenaiitb,Amit✨,"Mech IITBombay '23 || I like startups, technology, and design!",210,2251,289
NandeeshMR26011,Nandeesh MR,,61,823,5
itsvaibhavTwit,Vaibhav Kesharwani,,6,60,0
kishor_irnak,kishor irnak,,0,9,1
OElyazid,oumaima elyazid,إِن يَنصُرْكُمُ اللَّهُ فلا غَالِبَ لَكُمْ,12,207,88
AbhisheckE,abhisheck elangovan,,23,447,148
Navaneetha1055,Navaneethakrishnan S M,Student,3,19,1
shreyam1245,Shreyam Chaurasia,,3,43,0
0xSayak15089,dev dojo,Web Dev 🌐 | Open Source ⭐ | CP 📈 | Cloud ☁️ | Web3💲 | Hackathons 💻 | Community 🍀 | tech blogging ✍️,75,1163,100
AngelMe0110,Angel Gupta,,0,45,0
Angel8820348739,Angel,,0,1,0
rishithreddy939,Rishith Kumar,,7,279,134
PalakPandit3__,Palak Pandit,,9,36,14
KrrishSehgal3,Krrish Sehgal,,0,37,0
Udhayak88666851,Udhaya kumar,,9,49,0
VGori2003,Vishal_gori2003,,9,65,8
RajanTw7790,Rajan Tw,,226,1914,1
Aditya_M_30,Aditya Mohanty,"Travelling Is Love__
KIIT'26",1,40,9
_priyanshgoel_,Priyansh Goel,,0,11,0
Bunnyy0905,Bhaskar Singh Bhakuni,,0,2,0
BittEkam,Ekam🪐,"19 | No Spidey powers, just all of Parker's struggles
intern @timechainlabs | alterok @_buildspace | buidling @by_clueless",452,426,929
Jasleenxpb07,Jasleenpb07,"Jasleen Bhatti
Student(CS)",1,22,0
ajais2518,Akshat Jaiswal,,3,26,2
Varun__Ricky,MEKALA VARUN YADAV,Thinking about me special makes me special.,3,87,1
rajrosh37097908,raj roshan,believe in brotherhood .,3,20,27
Xorog15,xorog,,4,69,0
devzaq_,Ankit Jha,"Android Developer , Arch Linux User, Programmer ,Biker
Computer Science Student.",22,209,11
RajeevKommani,Rajeev Kommani,,8,169,930
PawarVedik56284,Vedika Pawar,,0,2,0
_prakashr_,Prakash Dass R,"Passionate about the world, news, and social concepts. Join me as I share thought-provoking content and engage in meaningful discussions 🌍 ✨
Do follow.",7,103,41
travel_vth_liar,RK Liar,"20 🏃
Libra ⚖️
testy 🧠
observant 🧐
fatuous 🤪
chaotic 🤯
what about you then?👀",45,369,304
yellowamit,Amit kumar Giri,WTF(wow thats fun),4,17,3
RenuJuneja111,Renu_Juneja,Reskilling _ WEB3 | Controller of Examinations | Researcher | Lecturer  | Prev. Process Engineer | Prev. Engineer Trainee,1,67,4
Shivam__1203,Shivam Yadav,,1,20,5
dharmitpatel81,Dharmitkumar Patel,Software Developer |  Python | MERN | Django,44,218,134
Prasant2507,Prasant Chandra Poddar,"5-★ coder in HackerRank in JAVA as well as in Problem Solving.

Enthusiastic for new technologies, self-motivated and reliable person.",7,29,11
RoshanR60715148,Roshan Raj,Web3 Developer 🕹️,6,43,366
niteesh_putla,Niteesh Putla,Blockchain dev,92,1331,51
Aditi_0891,Aditi,,4,174,1
Rohit___pawar,Rohit,"Bhopal 📍
Oist'25 | Tech Enthusiast | Cricket 🏏|Frontend Learner | Engineer | Cinephile 🎬 | Chess |",18,77,102
rishikesh212001,Rishikesh Preman,,3,26,2
Bilchain,bil99,"Man is born free, but everywhere he is in chains”?",145,1410,444
suryan2116,suryanarayana,"PhD Research Scholar @NIPER-A, India/Curious Mind/Love to explore new things/ sports person/Tweets are mine",52,614,15
Akshays48897681,Akshay Swami,The art of Living... Volunteers,25,550,4
Manas_1203,Manas Gupta,"pre-final year computer science undergrad |
Web developer | web3 enthusiast |",29,133,14
pramudit_03,Pramudit Prajapati,"Big things take time,so wait and have patience.",8,26,99
DipshikhaD54894,Dipshikha Datta,,16,253,0
lucky844967,Lucky Sharma,,2,80,1
dhruxv1,Dhruv,cse '24 : backend intern by day rethinking life choices by night.,17,240,37
mad_cipher,Aditya Patel,,1,27,1
raganethth96846,Avishka Ranaveera raganeththige,,3,71,0
AsupanRuel,Ruel Asupan,,30,1114,208
Dipanjan1572003,Dipanjan Roy,CSE Undergrad 💻 | Frontend dev 🎨| Open Source enthusiast | Learning frontend & DSA| CSE'26;,18,146,15
SubrataRout5,Subrataa Rout,"Nurturing the human spirit❤
🐾",18,51,13
PramodPoladi,Pramod Kumar Poladi,,7,10,6
AgarhariAshu,Ash ',,29,144,122
last_name_khan,Aman Khan,Cool Nerd 🚀 || Web-Developer 💻,61,201,97
eswark434,Eswar Kumar,,0,48,2
DivHacks,DivHacks,DivHacks is Columbia and Barnard's premier student-led diversity hackathon centered around uplifting underrepresented voices in technology and entrepreneurship.,33,62,22
Arzoosingh147,Arzoo Singh,hey :),3,4,0
KalmeVyank98364,Kalme Vyankatesh,"tech enthusiasts ||
 programmer ||
 problem solver||
 java developer||
flutter developer||
content creator",14,210,27
harsh_shah_9104,harsh shah,E-mail : harshgshah9@gmail.com,18,83,14
Shivam63905,Shivam Batham,"B.tech2024(CSE).
skills- C++, DSA, Html, Css, JavaScript, React, Git.
Learning Web Development (#MERN)
 #opensource #openForInternships.",34,441,43
NikitaD07,Nikita Deshmukh,Learning Data science at Savitribai Phule Pune University,2,66,1
Akkarn26,A Dev,A dev,5,52,77
VishalV54103586,FireBoxIndia,"Pop Culture Fan
.
YouTube channel link👇",8,69,216
Harshit05964885,HARSHIT SHUKLA,"JUST A LOVER OF NATURE.....

I like sports,silence and

walking alone in nature's lap....",30,195,383
AdityaBhalla100,Aditya Bhalla,,3,290,136
Indocentric,Ronit Banerjee 🇮🇳,"Avid Reader, politically sane, and student of history, politics and design.",13,121,653
Taiwo85659083,Taiwo,Too dead to die.,1,121,36
saurabhksah,Saurabh Sah,HTML | CSS | JavaScript | Node.js | Express.js | Mongodb,2,19,6
AnuragDadh61420,Anurag Dadhich,..,2,36,2
viwan_raj,Viwan Raj,Student who want to grow,0,44,6
subhash53241379,shally,,7,152,3
SwasthikaDev,Vilgax,Sab Moh Maaya Hai,3,145,480
Kalyan9064,Kalyan Chakraborty,,5,52,2
Navjotsingh815,Navjot Kumar Singh,,3,52,0
TusharA29964215,Tushar Arora,,6,181,1
BambureHarshita,Harshita Bambure,Android Developer | Yoga Teacher.,10,140,1
curi_lad,D!no,Believes in Curiosity !,0,81,1
shivansh_013,Phinix Morgan,"India❣️
programming ❣️",8,106,39
MotiSain1483572,Moti Sain,,1,16,1
gowrivinod88,Gowri Vinod,Software Developer,1,18,0
dilip_boini,Boini velupula Dilip kumar,,5,180,0
de_gonnabeAlpha,GOKU _,,13,93,0
_0xmayank,Mayank at hacker house- blr,Contributor @SuperteamDAO || Contributor @fosscuk || Gaudmire @_buildspace || Web Developer 🕸️,156,251,375
Atharva66002520,Atharva Jaiswal,,0,11,2
Paranthaman__A,Surya PS,,3,63,5
akshaya80074,Akshaya,,2,29,1
arya1230,aryakesarwani,,292,146,25
_Shivam_149,Shivam prajapati,.,0,39,13
Spectre_harsh07,Harsh Tiwary,"NITian, Intern WarRoom (@Flipkart - @0xPolygonLabs CoE),  4 x 🏆 Hackathon, Prev. Intern @0xHashstack, Ex-Fellow @StatesDao, Sanatan Dharm 🕉",319,1624,734
Harshit_senpai,Harshit Mishra #OSD,Full stack developer 🌐 | s4 n&w @_buildspace | @getpostman SL🚀 | building @_StuCom | @gdsc_rcet core team | Open source 🥑| AI enthusiast 🤖,77,302,335
Vanshik34094585,Vanshika Rastogi,,0,75,0
ehteshamstwt,ehtesham anwer,,3,103,22
ChennuRamyasri,suchi,,1,65,1
aditya_bhandoh,Aditya Bhandoh,Student • Enthusiast • Aware,17,428,56
Sky639053655358,Sky,,0,8,0
angryybirddhana,Angryybirdd 👩🏻‍💻𝕏,#hacking 👩🏻‍💻 #games 🎮 #space 🔭#books 📚    | Caffeine☕️ ✖️ Ipad Pro ✖️ Music🎧 🟰 Drug😇 |,26,242,179
soumendujana67,Soumendujana,"Hey, I am Soumendu, I love to create designs, techs, products that solve problems of mns and wanna impact lives of people by my work and passion for creation.",5,245,30
Rohansa03,Rohan Sapkal,,0,30,3
srivardhan2115,Srivardhan Pulluru,LEARNER,8,42,1
HINGUYASH4,HINGU YASH,HTML | CSS3 | JAVASCRIPT,3,63,14
ayarvind_6368,Arvind Yadav,"B-Tech '26 | Full Stack Developer | React Native Developer | Data Science Enthusiasts | UI/UX
https://t.co/zgUkw0NbyV • 
https://t.co/vDAG3Njz0P",5,73,75
Abhishekkk_1001,Abhishek Singh,Developer,13,55,102
kundan_k_,Kundan Kumar 🇮🇳,"Programmer || Coder || MERN || NIT-A|| ECE25 || Productivity || AI & tech.

😇 just a boy seating in front of VSCode and expecting codes to love back.",31,365,563
nerdycasette,Shivang Sharma,,14,87,19
SingasaniPreet1,Preethi,,19,40,6
atul0why,Atul,"18 || ENGINEER (AI & ML)'26 ||Code ,Sketch & Design",1,49,0
SUMANAS08884516,SUMANA S,,7,40,7
_santoshsingh19,santoshsingh19114,,2,66,0
akshatmishi,akshat mishra,,9,78,0
iamspanchal1778,Sujal panchal,'learning competitive programming🧑‍💻'  | 'learning Digital marketing  @looksocialmedia' |' thich enthusiast'| exploring Web3|Bachelor in  computer science ⚛️;,77,522,94
Sarathi0M,Sarathi Manikandan,Obsessed with the Universe...,5,87,17
beamitpal,Amit Pal,"Bringing life to software! System Software Developer by day, web & android developer by night. I'm always learning and pushing boundaries in the tech world.",22,708,4
parthbhimani121,Parth Bhimani,,9,197,1
chittaXranjan,chiku,"Work hard for writing bugs😉, 
FRONTEND DEVELOPER
(HTML, CSS, JAVASCRIPT)",11,31,90
aloksingh8158,Alok Singh,,1,35,0
theduviya,chromatic._. aberration,vandhoomb,1,14,3
0xayushete02,Ayush Shete,#BRC_RCOEM Founder | #SIH22 Winner | 5xWeb3 hackathon winner | Blockchain | Developer | Open source Developer |,27,103,83
_EF_ANI,Prime Mosqo,web 3,27,522,284
dipteshkp01,Diptesh Kumar Panda,"👨🏻‍🏫 FMHSS '22
👨🏻‍🎓 NIT Rourkela '27 
📸  @snapdips
!! Tech 👨‍💻|| Photography 📷 || Cinematography 📸 ||
Voyaging 🎒 ||  Graphics Designing😌 ||",56,72,40
hnazari13,hn.azari,,7,28,65
MrSG7072,sg bh,,1,7,0
taumyasomar,Saumya,🥷,14,125,136
Trynew_Explore,WhyMe,Learning to code,11,146,67
AMAN43589925,Aman Singh,Web Developer and Open Source Enthusiast | Joining Forces for GSSoC'23 and SSOC 2.0 | Passionate about Creating Innovative Web Solutions,4,105,50
SanketParg64694,Sanket Pargharmol,,5,275,0
vaibhavg4651,vaibhav gupta,| FullStack Developer 💻• JAVA • JavaScript • OpenSource • Freelance • Building @DevsourceC |,150,390,748
fruity0209,Kanishma💚,"ɓε ɠσσ∂ ɓυƭ ∂σɳ'ƭ ωαรƭε ƭเɱε ƭσ ρ૨σѵε เƭ...

💚🇰 🇦 🇳 🇮 🇸 🇭 🇲 🇦💚",5,337,2
titaniumals,almass.eth/lens | PuneDAO,Building @Pune_DAO community 🙋 Digital marketing generalist 🗣️ Pune Chapter Lead for @FoundershipHQ & @5ireHub_Pune,3305,4626,24627
arindam_092004,ARINDAM BHOWMIK,,4,90,2
Sabarie29499800,Sabariesh,,3,135,0
AAnishRam2206,A Anish Ram,,0,22,0
BlessedJatto,Patience Blessed Jatto,"A business coach , super director NRG",2,168,530
SweetyG79092943,Sweety Gupta,,3,160,56
Q80CAM,Cam ⚡️,"Wine Glass, puff pass.",144,940,2164
bhavya21245,Bhavya Gupta,,1,37,2
maevemilie,Alexx,,2,166,8069
D_Singla,Abhinandan Singla,UNESCO UIA International hackathon 22’ Winner || SIH22’ Winner || Luxembourg-India 23’ finalist || Deep learning || Web3 || Fullstack || Flutter Developer,110,78,751
Marvin_starkss,Marvin,🏀,25,286,213
Haripriya102004,hari priya n,"Learning web development 👩‍💻 | Interested in personal finance | Loves to read self improvement books | Pursuing ECE at CIT, Coimbatore",15,165,199
laveenahere,Laveena,todo pasa.,250,544,217
KKomal1212,Komal Kumbhani,,0,18,0
futurwhale,Shivam,,0,187,1
mdAsadu91281154,mdAsadul Avive Citizen,,12,270,706
SatyamSwapnil80,Satyam Swapnil,"Writer | Student |
Fixing... 
sometimes R",968,4980,511
102Shantanu,Shantanu Patel,,2,29,0
ctrl_zedd,angelb.,she/her | TIET 25' | anime | aspiring cat | wanna document some part of life here.. :),740,1443,1626
X__Official__,Fermi,.,17,339,202
Pawank795,0xPawan Kumar,"Google Arcade Facilitator👨‍💻@Spheron Dappocate|@Aptos Fellow|Content creator|s4 N&W|
Omdena |Build'n Web3 Projects|

https://t.co/0VZeQlOB8v",103,794,488
Aishwaryaatech,Aishwarya,Tech evangelist #tech,0,242,1
MahimaBh2,Mahima Bhardwaj,"Aspiring Fullstack Developer.
https://t.co/mS2C6bJQxh
https://t.co/B3WFsIJjPa…
https://t.co/naHaPOZrFa",11,134,91
MozeAaron,Moze@Aaron,Software engineer and developer.,24,186,73
Swapnil_259,Swapnil Agrawal,,1,61,1
rithvikreddy_33,rithvik reddy,,6,591,4
jsou_ranchi,Jharkhand State Open University,"Jharkhand State Open University (JSOU) has been established by Jharkhand State Open University Act, 2021, dated: 23.11.2021 duly passed by Jharkhand Assembly.",249,2137,259
Pratham_Soni_04,Pratham Soni,,17,79,0
Saurabh40620993,Saurabh Soni,,0,23,5
shanai_sarkar,Pranjal Sarkar,Stargazer || Coder || Dreamer,8,111,4
suryav362,Surya,Information Technology Student | Tech Enthusiast,33,217,5
jude_magnu99725,Magnus jude,,7,52,43
vspeeeeee,Vishnu Suresh Perumbavoor,#Bharat 🇮🇳🇮🇳 #Modi2024 #Vivek2024 #Elon 🔥🔥,113,712,3311
Vivek12092,Vivek Kumar,,1,40,0
Zorage__,Manjeet Singh | Generating Penguins 🐧| 🍕 🧑‍💻,"SRFP @IITKanpur 23 | 
PDM cordinator @_houseofgeeks |
MERN Dev | Design | 
valorant is love",36,111,174
prashant5025615,Prashant,,2,20,0
deepak_bavan,deepak bavana,,1,20,5
VISHNUS85564664,VISHNU S,,3,111,0
AW999007,Arun Warrier,,1,19,0
Katrintyy,Ayema Faisal,🇵🇰 | 20 | BSSE student,112,172,639
HARD9995,HARD 999,,2,53,54
anshbakshi_3o1o,29 _C2_Ansh Sandeep Bakshi,,1,9,0
thisissanjayy,SANJAY S,18' | https://t.co/hkqSeyzaBk computer science and engineering (integrated) | SEC 27' | want to learn something each and every day | aspire to become a coder 🫡.,9,132,2
saty2522,Sai,,2,70,5
Devas_45,Devashish Panigrahi,,0,31,0
jayexflex,Thunday,God| Happy| Love| Business Owner| Crypto| Bitcoin,73,560,190
shreytwt,Shrey Jain,Front-end Developer (ReactJs) l 1x Hackathon 2nd Runner up 🏆 l Looking for new and mindful connections 🤝 I Talks about Books and Tech💻,30,496,121
Dolphie_2010,Dolphie1,I am an enthusiastic social media influencer with a passion for newer ideologies to make a positive change in a  world of the present dynamics.,64,1106,1248
rootscraper13,Ankit Tiwari,,1,48,5
Prabeen_Rx,Prabeen,"Software Engineer
Crypto Lover
Electronics Enthusiast",1,10,0
CyberSayak,Sayak Ghosh,"𝐓𝐚𝐥𝐤 𝐢𝐬 𝐜𝐡𝐞𝐚𝐩.
        𝐒𝐡𝐨𝐰 𝐦𝐞 𝐭𝐡𝐞 𝐜𝐨𝐝𝐞",24,550,9
tijadscotia,scotia,,88,871,2
HarshVa82884493,Harsh Vardhan Pandey,"Write once, curse twice, debug forever.",6,152,45
UshaMartinUnv,Usha Martin University,Admissions Open 2023. Provides inclusive Quality Higher Education in different fields for sustainable development of the society. #UshaMartinUniversity,262,3057,1045
yashtiwari70076,yash tiwari,"Explore what you want,
lot other things to do
that we dont know even.",14,67,247
AmadouSeye15,seyeYarame,Seye Yarame,146,1000,53
alkyema4,Alkyema,,0,22,0
madhura_ingole,Madhura Ingole,,0,2,27
krish__borana,KRISH BORANA,BE WHAT YOU WANT TO BE NOT WHAT OTHER WANT TO SEE,2,200,9
Vinayak_zip,Vinayak,"Cogito, Ergo Sum",64,1324,457
Bammidi_Eshwar,stylishstar_eshwar,"𝕴 𝖆𝖒 𝖆 𝖕𝖍𝖔𝖙𝖔𝖌𝖗𝖆𝖕𝖍𝖊𝖗,𝕰𝖉𝖎𝖙𝖔𝖗 𝖆𝖓𝖉 𝖈𝖔𝖉𝖊𝖗
youtuber
creation is my passion",4,86,15
Rahul15kathuria,rahullll🚮,blockchain dev @chillinqueue | web3 freelancer | building @iknowspots,160,806,820
francescoswiss,Francesco Andreoli | andreolf.ethᵍᵐ,"Not Forbes 30 under 30 | DevRel 🥑 @Consensys @Metamask & Early Stage Investor @ouicapital 🦄 , Ex @digitalassetcom @angelHack, @ETH_en, kite🌊",6690,4654,3932
Rahulswr,Rahul Das,"I know basic of java only and in future more skills will be added surely,
No Competitive coding 

Collaboration is the goal

#100daysOfCode

#Java

#DPSC",12,31,283
FenilModi5599,Fenil Modi 🇮🇳,"Information and Technology Engineering Student || EX-ISRO ||
|| Machine Learning Enthusiast ||
Linkdin Profile : https://t.co/NY2jZE3dBs",10,196,11
SmileWithKhushi,Khushi Panwar,Technophile • Google DSC Lead 23' • Beta MLSA • 2x @GoogleCloud Facilitator • @postman SE • Content Creator • Student Researcher • Speaker & Mentor • DU'24🎓,929,442,1180
oduguwa4,oduguwa,"KOOLWORLD GLOBAL RESOURCES
WORLD BUSINESS CONNECT
https://t.co/h5RC2V3FxT

...
KOOLTECH
KOOLBIZ
KOOLDESIGN
KOOLTUTOR
KOOLWORLD.",257,4999,1360
kan_chaudhary23,Kanak Chaudhary,,6,38,7
vrashabha13,Vrashabha Nilajagi,"progressive,rationalist",19,590,3
garvitjain1857,Garvit Jain,,1,42,6
Ganbaru_hito20,Parinita,,74,85,117
Ak_pandey2710,Akshay Kumar Pandey,,1,8,0
Ashutshv19,Ashutosh Verma,"I write good code..                                                                      
जय श्री राम 🙏🏼",3,99,6
Abhinav_1983,Abhinav,🌐 Exploring the Web Dev World 🚀 |  Curiously Coding my Way Through the Digital Jungle 🌐 | Join Me on this Wild Ride! 💻✨,10,40,13
MrinmaiKadu,Mrinmai Kadu,"Hamster in the streets, Gangster in the tweets",68,150,45
yovo_yawo,Yawo Yovo,"DOTNET enthusiast,
GDSC of IAI-TOGO Lead,
UNESCO India African Hackathon 2022 Winner",82,492,80
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
